study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	sra_ftp	sample_alias
PRJNA396794	SAMN07501208	SRS2455895	SRX3121212	SRR5963301	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963301	N4_167_066G1
PRJNA396794	SAMN07501209	SRS2455897	SRX3121213	SRR5963302	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963302	N4_167_072G1
PRJNA396794	SAMN07501210	SRS2455899	SRX3121214	SRR5963303	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963303	N4_168_017G1
PRJNA396794	SAMN07501211	SRS2455898	SRX3121215	SRR5963304	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963304	N4_168_021G1
PRJNA396794	SAMN07501212	SRS2455900	SRX3121216	SRR5963305	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963305	N4_168_023G1
PRJNA396794	SAMN07501213	SRS2455901	SRX3121217	SRR5963306	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963306	N4_170_007G1
PRJNA396794	SAMN07501214	SRS2455902	SRX3121218	SRR5963307	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963307	N4_170_009G1
PRJNA396794	SAMN07501215	SRS2455903	SRX3121219	SRR5963308	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963308	N4_170_012G1
PRJNA396794	SAMN07501216	SRS2455904	SRX3121220	SRR5963309	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963309	N4_170_016G1
PRJNA396794	SAMN07501217	SRS2455905	SRX3121221	SRR5963310	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963310	N4_170_019G1
PRJNA396794	SAMN07501218	SRS2455907	SRX3121222	SRR5963311	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963311	N4_171_005G1
PRJNA396794	SAMN07501219	SRS2455906	SRX3121223	SRR5963312	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963312	N4_171_017G1
PRJNA396794	SAMN07501220	SRS2455908	SRX3121224	SRR5963313	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963313	N4_171_026G1
PRJNA396794	SAMN07501221	SRS2455909	SRX3121225	SRR5963314	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963314	N4_179_013G1
PRJNA396794	SAMN07501222	SRS2455910	SRX3121226	SRR5963315	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963315	N4_179_018G1
