study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	library_name	run_alias	fastq_ftp	sra_ftp	sample_alias	sample_title
PRJNA376566	SRP102872	SAMN06444656	SRS2092534	SRX2698142	SRR5405664	human metagenome	S2_016_014G1	S2_016_014G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405664/SRR5405664.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405664	S2_016_014G1	preterm infant gut metagenome S2_016_014G1
PRJNA376566	SRP102872	SAMN06444655	SRS2092536	SRX2698143	SRR5405665	human metagenome	S2_016_013G1	S2_016_013G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405665/SRR5405665.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405665	S2_016_013G1	preterm infant gut metagenome S2_016_013G1
PRJNA376566	SRP102872	SAMN06444654	SRS2092535	SRX2698144	SRR5405666	human metagenome	S2_016_011G1	S2_016_011G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405666/SRR5405666.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405666	S2_016_011G1	preterm infant gut metagenome S2_016_011G1
PRJNA376566	SRP102872	SAMN06444653	SRS2092539	SRX2698145	SRR5405667	human metagenome	S2_016_010G1	S2_016_010G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405667/SRR5405667.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405667	S2_016_010G1	preterm infant gut metagenome S2_016_010G1
PRJNA376566	SRP102872	SAMN06444652	SRS2092538	SRX2698146	SRR5405668	human metagenome	S2_016_009G1	S2_016_009G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405668/SRR5405668.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405668	S2_016_009G1	preterm infant gut metagenome S2_016_009G1
PRJNA376566	SRP102872	SAMN06444651	SRS2092537	SRX2698147	SRR5405669	human metagenome	S2_016_008G1	S2_016_008G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405669/SRR5405669.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405669	S2_016_008G1	preterm infant gut metagenome S2_016_008G1
PRJNA376566	SRP102872	SAMN06444650	SRS2092541	SRX2698148	SRR5405670	human metagenome	S2_016_007G1	S2_016_007G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405670/SRR5405670.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405670	S2_016_007G1	preterm infant gut metagenome S2_016_007G1
PRJNA376566	SRP102872	SAMN06444649	SRS2092542	SRX2698149	SRR5405671	human metagenome	S2_015_013G1	S2_015_013G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405671/SRR5405671.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405671	S2_015_013G1	preterm infant gut metagenome S2_015_013G1
PRJNA376566	SRP102872	SAMN06444648	SRS2092540	SRX2698150	SRR5405672	human metagenome	S2_015_012G1	S2_015_012G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405672/SRR5405672.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405672	S2_015_012G1	preterm infant gut metagenome S2_015_012G1
PRJNA376566	SRP102872	SAMN06444647	SRS2092543	SRX2698151	SRR5405673	human metagenome	S2_015_011G1	S2_015_011G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405673/SRR5405673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405673	S2_015_011G1	preterm infant gut metagenome S2_015_011G1
