study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	study_alias	fastq_ftp	submitted_ftp	sample_alias
PRJNA273761	SAMN03295848	SRX858746	SRR1779143	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779143/SRR1779143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779143/SRR1779143_2.fastq.gz		NECEvent2014_7_1
PRJNA273761	SAMN03295849	SRX858747	SRR1779144	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779144/SRR1779144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779144/SRR1779144_2.fastq.gz		NECEvent2014_7_2
PRJNA273761	SAMN03295850	SRX858748	SRR1779145	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779145/SRR1779145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779145/SRR1779145_2.fastq.gz		NECEvent2014_7_3
PRJNA273761	SAMN03295851	SRX858749	SRR1779146	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1779146/SRR1779146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1779146/SRR1779146_2.fastq.gz		NECEvent2014_8_1
PRJNA273761	SAMN03295852	SRX858750	SRR1779147	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/007/SRR1779147/SRR1779147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/007/SRR1779147/SRR1779147_2.fastq.gz		NECEvent2014_8_2
PRJNA273761	SAMN03295853	SRX858751	SRR1779148	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/008/SRR1779148/SRR1779148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/008/SRR1779148/SRR1779148_2.fastq.gz		NECEvent2014_8_3
PRJNA273761	SAMN03295854	SRX858752	SRR1779149	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/009/SRR1779149/SRR1779149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/009/SRR1779149/SRR1779149_2.fastq.gz		NECEvent2014_8_4
PRJNA273761	SAMN03295855	SRX858753	SRR1779150	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1779150/SRR1779150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1779150/SRR1779150_2.fastq.gz		NECEvent2014_8_5
PRJNA273761	SAMN03295856	SRX858754	SRR1779151	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1779151/SRR1779151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1779151/SRR1779151_2.fastq.gz		NECEvent2014_8_6
PRJNA273761	SAMN03295857	SRX858755	SRR1779152	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/002/SRR1779152/SRR1779152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/002/SRR1779152/SRR1779152_2.fastq.gz		NECEvent2014_8_7
PRJNA273761	SAMN03295858	SRX858756	SRR1779153	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779153/SRR1779153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779153/SRR1779153_2.fastq.gz		NECEvent2014_9_1
PRJNA273761	SAMN03295859	SRX858757	SRR1779154	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779154/SRR1779154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779154/SRR1779154_2.fastq.gz		NECEvent2014_9_2
PRJNA273761	SAMN03295860	SRX858758	SRR1779155	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779155/SRR1779155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779155/SRR1779155_2.fastq.gz		NECEvent2014_10_1
PRJNA273761	SAMN07977761	SRX3362838	SRR6256380	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6256380/SRR6256380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6256380/SRR6256380_2.fastq.gz		N3_177_045G1
PRJNA273761	SAMN07977759	SRX3362837	SRR6256381	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6256381/SRR6256381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6256381/SRR6256381_2.fastq.gz		N3_177_031G1
PRJNA273761	SAMN07977760	SRX3362836	SRR6256382	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6256382/SRR6256382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6256382/SRR6256382_2.fastq.gz		N3_177_039G1
PRJNA273761	SAMN07977757	SRX3362835	SRR6256383	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6256383/SRR6256383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6256383/SRR6256383_2.fastq.gz		N3_176_051G1
PRJNA273761	SAMN07977758	SRX3362834	SRR6256384	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6256384/SRR6256384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6256384/SRR6256384_2.fastq.gz		N3_177_011G1
