study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJNA422434	SAMN00792002	SRX122035	SRR413657	337	20946551	3770379180
PRJNA422434	SAMN00792003	SRX122036	SRR413658	343	17340334	3121260120
PRJNA422434	SAMN00792004	SRX122037	SRR413659	349	18538294	3336892920
PRJNA422434	SAMN00792005	SRX122038	SRR413660	341	29897536	5381556480
PRJNA422434	SAMN00792006	SRX122039	SRR413661	339	22904688	4122843840
PRJNA422434	SAMN00792007	SRX122040	SRR413662	352	15338822	2760987960
PRJNA422434	SAMN00792008	SRX122041	SRR413663	334	29308737	5275572660
PRJNA422434	SAMN00792009	SRX122042	SRR413664	337	28290425	5092276500
PRJNA422434	SAMN00792010	SRX122043	SRR413665	351	24063238	4331382840
PRJNA422434	SAMN00792011	SRX122044	SRR413666	355	20963450	3773421000
PRJNA422434	SAMN00792012	SRX122045	SRR413667	390	19282567	3470862060
PRJNA422434	SAMN00792013	SRX122046	SRR413668	350	17718084	3189255120
PRJNA422434	SAMN00792014	SRX122047	SRR413669	350	17890590	3220306200
PRJNA422434	SAMN00792015	SRX122048	SRR413670	350	21910603	3943908540
PRJNA422434	SAMN00792016	SRX122049	SRR413671	350	15074311	2713375980
PRJNA422434	SAMN00792017	SRX122050	SRR413672	350	15741783	2833520940
PRJNA422434	SAMN00792018	SRX122051	SRR413673	350	24125558	4342600440
PRJNA422434	SAMN00792019	SRX122052	SRR413674	350	26990032	4858205760
PRJNA422434	SAMN00792020	SRX122053	SRR413675	350	29677556	5341960080
PRJNA422434	SAMN00792021	SRX122054	SRR413676	350	23242522	4183653960
PRJNA422434	SAMN00792022	SRX122055	SRR413677	350	32348674	5822761320
PRJNA422434	SAMN00792023	SRX122056	SRR413678	350	34807703	6265386540
PRJNA422434	SAMN00792024	SRX122057	SRR413679	350	27621600	4971888000
PRJNA422434	SAMN00792025	SRX122058	SRR413680	350	22869911	4116583980
PRJNA422434	SAMN00792026	SRX122059	SRR413681	350	22170489	3990688020
PRJNA422434	SAMN00792027	SRX122060	SRR413682	350	28768000	5178240000
PRJNA422434	SAMN00792028	SRX122061	SRR413683	350	25702993	4626538740
PRJNA422434	SAMN00792029	SRX122062	SRR413684	350	24690678	4444322040
PRJNA422434	SAMN00792030	SRX122063	SRR413685	350	24650909	4437163620
PRJNA422434	SAMN00792031	SRX122064	SRR413686	350	27815037	5006706660
PRJNA422434	SAMN00792032	SRX122065	SRR413687	350	19963512	3593432160
PRJNA422434	SAMN00792033	SRX122066	SRR413688	350	28916596	5204987280
PRJNA422434	SAMN00792034	SRX122067	SRR413689	350	29800190	5364034200
PRJNA422434	SAMN00792035	SRX122068	SRR413690	350	26979034	4856226120
PRJNA422434	SAMN00792036	SRX122069	SRR413691	350	21776597	3919787460
PRJNA422434	SAMN00792037	SRX122070	SRR413692	350	25922643	4666075740
PRJNA422434	SAMN00792038	SRX122071	SRR413693	350	28678318	5162097240
PRJNA422434	SAMN00792039	SRX122072	SRR413694	350	28221360	5079844800
PRJNA422434	SAMN00792040	SRX122073	SRR413695	350	29251902	5265342360
PRJNA422434	SAMN00792041	SRX122074	SRR413696	350	24148099	4346657820
PRJNA422434	SAMN00792042	SRX122075	SRR413697	350	24845770	4472238600
PRJNA422434	SAMN00792043	SRX122076	SRR413698	350	29166771	5250018780
PRJNA422434	SAMN00792044	SRX122077	SRR413699	350	17568545	3162338100
PRJNA422434	SAMN00792045	SRX122078	SRR413700	350	28915885	5204859300
PRJNA422434	SAMN00792046	SRX122079	SRR413701	350	23247355	4184523900
PRJNA422434	SAMN00792047	SRX122080	SRR413702	350	23667244	4260103920
PRJNA422434	SAMN00792048	SRX122081	SRR413703	350	25510654	4591917720
PRJNA422434	SAMN00792049	SRX122082	SRR413704	350	23668235	4260282300
PRJNA422434	SAMN00792050	SRX122083	SRR413705	350	26846280	4832330400
PRJNA422434	SAMN00792051	SRX122084	SRR413706	350	29121023	5241784140
PRJNA422434	SAMN00792052	SRX122085	SRR413707	350	23932153	4307787540
PRJNA422434	SAMN00792053	SRX122086	SRR413708	350	33867269	6096108420
PRJNA422434	SAMN00792054	SRX122087	SRR413709	350	17722750	3190095000
PRJNA422434	SAMN00792055	SRX122088	SRR413710	350	29137742	5244793560
PRJNA422434	SAMN00792056	SRX122089	SRR413711	350	17683502	3183030360
