study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB6456	SAMEA2580065	ERX491083	ERR525848	347	20430450	4080739060
PRJEB6456	SAMEA2580066	ERX491084	ERR525849	342	18531989	3695075590
PRJEB6456	SAMEA2580067	ERX491085	ERR525850	338	18420956	3679609540
PRJEB6456	SAMEA2580068	ERX491086	ERR525851	345	20555340	4104059950
PRJEB6456	SAMEA2580069	ERX491087	ERR525852	348	19770552	3946003550
PRJEB6456	SAMEA2580070	ERX491088	ERR525853	336	14784885	2944934000
PRJEB6456	SAMEA2580071	ERX491089	ERR525854	344	17807244	3555173690
PRJEB6456	SAMEA2580072	ERX491090	ERR525855	340	23871636	4762648610
PRJEB6456	SAMEA2580073	ERX491091	ERR525856	326	29830827	5956355860
PRJEB6456	SAMEA2580074	ERX491092	ERR525857	336	16984911	3388234080
PRJEB6456	SAMEA2580075	ERX491093	ERR525858	345	16550316	3299976620
PRJEB6456	SAMEA2580076	ERX491094	ERR525859	327	22907486	4568759660
PRJEB6456	SAMEA2580077	ERX491095	ERR525860	322	23686780	4729770100
PRJEB6456	SAMEA2580078	ERX491096	ERR525861	325	22903248	4570690100
PRJEB6456	SAMEA2580079	ERX491097	ERR525862	313	15885272	3159530770
PRJEB6456	SAMEA2580080	ERX491098	ERR525863	319	25863147	5162327430
PRJEB6456	SAMEA2580081	ERX491099	ERR525864	323	20078489	4007634570
PRJEB6456	SAMEA2580082	ERX491100	ERR525865	334	20446193	4073871650
PRJEB6456	SAMEA2580083	ERX491101	ERR525866	331	16747108	3335424320
PRJEB6456	SAMEA2580084	ERX491102	ERR525867	328	22218947	4434433170
PRJEB6456	SAMEA2580085	ERX491103	ERR525868	324	27155288	5419335480
PRJEB6456	SAMEA2580086	ERX491104	ERR525869	330	21318816	4254072320
PRJEB6456	SAMEA2580087	ERX491105	ERR525870	338	20117349	4014938600
PRJEB6456	SAMEA2580088	ERX491106	ERR525871	327	27841087	5556157920
PRJEB6456	SAMEA2580089	ERX491107	ERR525872	332	24125014	4809736970
PRJEB6456	SAMEA2580090	ERX491108	ERR525873	326	20716395	4123700820
PRJEB6456	SAMEA2580091	ERX491109	ERR525874	326	16363769	3264384820
PRJEB6456	SAMEA2580092	ERX491110	ERR525875	310	20504394	4085760520
PRJEB6456	SAMEA2580093	ERX491111	ERR525876	351	25527102	5095473960
PRJEB6456	SAMEA2580094	ERX491112	ERR525877	335	20399423	4068233380
PRJEB6456	SAMEA2580095	ERX491113	ERR525878	344	15135631	3015354220
PRJEB6456	SAMEA2580096	ERX491114	ERR525879	335	24843402	4956570570
PRJEB6456	SAMEA2580097	ERX491115	ERR525880	321	20538983	4093542910
PRJEB6456	SAMEA2580098	ERX491116	ERR525881	337	21099745	4209207300
PRJEB6456	SAMEA2580099	ERX491117	ERR525882	329	20729216	4133078080
PRJEB6456	SAMEA2580100	ERX491118	ERR525883	328	18617831	3709473660
PRJEB6456	SAMEA2580101	ERX491119	ERR525884	327	19303151	3849592070
PRJEB6456	SAMEA2580102	ERX491120	ERR525885	323	18562330	3695792200
PRJEB6456	SAMEA2580103	ERX491121	ERR525886	331	21051978	4199716420
PRJEB6456	SAMEA2580104	ERX491122	ERR525887	332	15318803	3040850570
PRJEB6456	SAMEA2580105	ERX491123	ERR525888	321	22688760	4531751450
PRJEB6456	SAMEA2580106	ERX491124	ERR525889	326	20880356	4159031580
PRJEB6456	SAMEA2580107	ERX491125	ERR525890	342	23589301	4707421190
PRJEB6456	SAMEA2580108	ERX491126	ERR525891	331	18929277	3763836080
PRJEB6456	SAMEA2580109	ERX491127	ERR525892	330	23974718	4782474990
PRJEB6456	SAMEA2580110	ERX491128	ERR525893	335	19601501	3908570580
PRJEB6456	SAMEA2580111	ERX491129	ERR525894	324	22928976	4576404890
PRJEB6456	SAMEA2580112	ERX491130	ERR525895	321	22392569	4465154900
PRJEB6456	SAMEA2580113	ERX491131	ERR525896	320	25135690	5011288460
PRJEB6456	SAMEA2580114	ERX491132	ERR525897	332	20116613	4004341710
PRJEB6456	SAMEA2580115	ERX491133	ERR525898	342	25624058	5115794210
PRJEB6456	SAMEA2580116	ERX491134	ERR525899	334	21506729	4283538470
PRJEB6456	SAMEA2580117	ERX491135	ERR525900	339	19191895	3822157210
PRJEB6456	SAMEA2580118	ERX491136	ERR525901	339	23282407	4646122780
PRJEB6456	SAMEA2580119	ERX491137	ERR525902	331	16418982	3268018410
PRJEB6456	SAMEA2580120	ERX491138	ERR525903	322	23927799	4770439200
PRJEB6456	SAMEA2580121	ERX491139	ERR525904	325	24288102	4838845280
PRJEB6456	SAMEA2580122	ERX491140	ERR525905	328	19920115	3968971140
PRJEB6456	SAMEA2580123	ERX491141	ERR525906	324	21743991	4331800760
PRJEB6456	SAMEA2580124	ERX491142	ERR525907	321	25816000	5146101400
PRJEB6456	SAMEA2580125	ERX491143	ERR525908	340	17375424	3463260190
PRJEB6456	SAMEA2580126	ERX491144	ERR525909	337	21867625	4365636750
PRJEB6456	SAMEA2580127	ERX491145	ERR525910	327	18168898	3628453400
PRJEB6456	SAMEA2580128	ERX491146	ERR525911	331	19162391	3824543560
PRJEB6456	SAMEA2580129	ERX491147	ERR525912	340	25574884	5103893390
PRJEB6456	SAMEA2580130	ERX491148	ERR525913	339	21411437	4270187860
PRJEB6456	SAMEA2580131	ERX491149	ERR525914	338	8095003	1614533850
