study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB32631	SAMEA5616682	ERX3428560	ERR3404908	500	11892592	2910640910
PRJEB32631	SAMEA5617635	ERX3428561	ERR3404909	500	10836892	2662722792
PRJEB32631	SAMEA5617634	ERX3428562	ERR3404910	500	7162046	1748140509
PRJEB32631	SAMEA5617636	ERX3428563	ERR3404911	500	8232873	2013006152
PRJEB32631	SAMEA5617637	ERX3428564	ERR3404912	500	9602658	2347869958
PRJEB32631	SAMEA5616686	ERX3428565	ERR3404913	500	9400556	2301100390
PRJEB32631	SAMEA5616687	ERX3428566	ERR3404914	500	9580862	2343563520
PRJEB32631	SAMEA5616689	ERX3428567	ERR3404915	500	10548555	2583213922
PRJEB32631	SAMEA5616690	ERX3428568	ERR3404916	500	10900468	2668027104
PRJEB32631	SAMEA5616691	ERX3428569	ERR3404917	500	12092500	2970725377
PRJEB32631	SAMEA5616692	ERX3428570	ERR3404918	500	12407628	3050501690
PRJEB32631	SAMEA5617642	ERX3428571	ERR3404919	500	9272322	2271125321
PRJEB32631	SAMEA5617643	ERX3428572	ERR3404920	500	8782208	2152546179
PRJEB32631	SAMEA5617644	ERX3428573	ERR3404921	500	7356964	1798411627
PRJEB32631	SAMEA5617645	ERX3428574	ERR3404922	500	8061312	1973012931
PRJEB32631	SAMEA5616663	ERX3428575	ERR3404923	500	9195262	2259542746
PRJEB32631	SAMEA5616664	ERX3428576	ERR3404924	500	8005474	1962622867
PRJEB32631	SAMEA5617655	ERX3428577	ERR3404925	500	8410034	2038714193
PRJEB32631	SAMEA5617654	ERX3428578	ERR3404926	500	9321843	2264569360
PRJEB32631	SAMEA5617650	ERX3428579	ERR3404927	500	8034481	1941562400
PRJEB32631	SAMEA5617651	ERX3428580	ERR3404928	500	8227913	1991473947
PRJEB32631	SAMEA5617657	ERX3428581	ERR3404929	500	10380126	2521710970
PRJEB32631	SAMEA5617658	ERX3428582	ERR3404930	500	12934742	3171195240
PRJEB32631	SAMEA5617659	ERX3428583	ERR3404931	500	13433418	3291460325
PRJEB32631	SAMEA5617640	ERX3428584	ERR3404932	500	9749905	2366652155
PRJEB32631	SAMEA5617641	ERX3428585	ERR3404933	500	9965952	2437718368
